% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
1.011	1	1	102	2	1	28	2196	0	0	0
1.026	1	1	103	7	1	28	2196	0	0	0
1.046	1	1	105	7	1	28	2196	0	0	0
1.054	1	1	106	5	1	28	2196	0	0	0
1.055	1	1	106	6	1	28	2196	0	0	0
1.066	1	1	107	7	1	28	2196	0	0	0
1.081	1	1	109	2	1	28	2196	0	0	0
1.101	1	1	111	2	1	28	2196	0	0	0
1.116	1	1	112	7	1	28	2196	0	0	0
1.136	1	1	114	7	1	28	2196	0	0	0
1.156	1	1	116	7	1	28	2196	0	0	0
1.171	1	1	118	2	1	28	2196	0	0	0
1.191	1	1	120	2	1	28	2196	0	0	0
1.206	1	1	121	7	1	28	2196	0	0	0
1.226	1	1	123	7	1	28	2196	0	0	0
1.227	1	1	123	8	1	28	2196	0	0	0
1.241	1	1	125	2	1	28	2196	0	0	0
1.261	1	1	127	2	1	28	2196	0	0	0
1.262	1	1	127	3	1	28	2196	0	0	0
1.263	1	1	127	4	1	28	2196	0	0	0
1.276	1	1	128	7	1	28	2196	0	0	0
1.296	1	1	130	7	1	28	2196	0	0	0
1.297	1	1	130	8	1	28	2196	0	0	0
1.298	1	1	130	9	1	28	2196	0	0	0
1.299	1	1	130	10	1	28	2196	0	0	0
1.311	1	1	132	2	1	28	2196	0	0	0
1.331	1	1	134	2	1	28	2196	0	0	0
1.332	1	1	134	3	1	28	2196	0	0	0
1.333	1	1	134	4	1	28	2196	0	0	0
1.334	1	1	134	5	1	28	2196	0	0	0
1.335	1	1	134	6	1	28	2196	0	0	0
1.346	1	1	135	7	1	28	2196	0	0	0
1.366	1	1	137	7	1	28	2196	0	0	0
1.367	1	1	137	8	1	28	2196	0	0	0
1.368	1	1	137	9	1	28	2196	0	0	0
1.369	1	1	137	10	1	28	2196	0	0	0
1.37	1	1	138	1	1	28	2196	0	0	0
1.371	1	1	138	2	1	28	2196	0	0	0
1.372	1	1	138	3	1	28	2196	0	0	0
1.373	1	1	138	4	1	28	2196	0	0	0
1.381	1	1	139	2	1	28	2196	0	0	0
1.382	1	1	139	3	1	28	2196	0	0	0
1.383	1	1	139	4	1	28	2196	0	0	0
1.384	1	1	139	5	1	28	2196	0	0	0
1.385	1	1	139	6	1	28	2196	0	0	0
1.386	1	1	139	7	1	28	2196	0	0	0
1.387	1	1	139	8	1	28	2196	0	0	0
1.388	1	1	139	9	1	28	2196	0	0	0
1.393	1	1	140	4	1	28	2196	0	0	0
1.394	1	1	140	5	1	28	2196	0	0	0
1.395	1	1	140	6	1	28	2196	0	0	0
1.396	1	1	140	7	1	28	2196	0	0	0
1.397	1	1	140	8	1	28	2196	0	0	0
1.398	1	1	140	9	1	28	2196	0	0	0
1.399	1	1	140	10	1	28	2196	0	0	0
1.4	1	1	141	1	1	28	2196	0	0	0
1.405	1	1	141	6	1	28	2196	0	0	0
1.406	1	1	141	7	1	28	2196	0	0	0
1.407	1	1	141	8	1	28	2196	0	0	0
1.408	1	1	141	9	1	28	2196	0	0	0
1.409	1	1	141	10	1	28	2196	0	0	0
1.41	1	1	142	1	1	28	2196	0	0	0
1.411	1	1	142	2	1	28	2196	0	0	0
1.412	1	1	142	3	1	28	2196	0	0	0
1.413	1	1	142	4	1	28	2196	0	0	0
1.414	1	1	142	5	1	28	2196	0	0	0
1.415	1	1	142	6	1	28	2196	0	0	0
1.416	1	1	142	7	1	28	2196	0	0	0
1.419	1	1	142	10	1	28	2196	0	0	0
1.422	1	1	143	3	1	28	2196	0	0	0
1.423	1	1	143	4	1	28	2196	0	0	0
1.424	1	1	143	5	1	28	2196	0	0	0
1.425	1	1	143	6	1	28	2196	0	0	0
1.426	1	1	143	7	1	28	2196	0	0	0
1.427	1	1	143	8	1	28	2196	0	0	0
1.428	1	1	143	9	1	28	2196	0	0	0
1.431	1	1	144	2	1	28	2196	0	0	0
1.434	1	1	144	5	1	28	2196	0	0	0
1.435	1	1	144	6	1	28	2196	0	0	0
1.443	1	1	145	4	1	28	2196	0	0	0
1.463	1	1	147	4	1	28	2196	0	0	0
1.464	1	1	147	5	1	28	2196	0	0	0
1.465	1	1	147	6	1	28	2196	0	0	0
1.466	1	1	147	7	1	28	2196	0	0	0
1.467	1	1	147	8	1	28	2196	0	0	0
1.468	1	1	147	9	1	28	2196	0	0	0
1.469	1	1	147	10	1	28	2196	0	0	0
1.47	1	1	148	1	1	28	2196	0	0	0
1.471	1	1	148	2	1	28	2196	0	0	0
1.472	1	1	148	3	1	28	2196	0	0	0
1.473	1	1	148	4	1	28	2196	0	0	0
1.474	1	1	148	5	1	28	2196	0	0	0
1.475	1	1	148	6	1	28	2196	0	0	0
1.476	1	1	148	7	1	28	2196	0	0	0
1.478	1	1	148	9	1	28	2196	0	0	0
1.479	1	1	148	10	1	28	2196	0	0	0
1.48	1	1	149	1	1	28	2196	0	0	0
1.481	1	1	149	2	1	28	2196	0	0	0
