% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
1.019	1	1	102	10	1	22	1431	0
1.039	1	1	104	10	1	28	2292	0
1.047	1	1	105	8	1	28	2292	0
1.059	1	1	106	10	1	28	2292	0
1.074	1	1	108	5	1	28	2292	0
1.075	1	1	108	6	1	28	2292	0
1.109	1	1	111	10	1	28	2292	0
1.164	1	1	117	5	1	22	1431	0
1.199	1	1	120	10	1	26	1908	0
1.234	1	1	124	5	1	28	2292	0
1.235	1	1	124	6	1	28	2292	0
1.269	1	1	127	10	1	16	967	0
1.27	1	1	128	1	1	16	967	0
1.271	1	1	128	2	1	16	967	0
1.304	1	1	131	5	1	28	2292	0
1.305	1	1	131	6	1	28	2292	0
1.306	1	1	131	7	1	28	2292	0
1.307	1	1	131	8	1	28	2292	0
1.339	1	1	134	10	1	16	967	0
1.34	1	1	135	1	1	16	967	0
1.341	1	1	135	2	1	16	967	0
1.342	1	1	135	3	1	16	967	0
1.343	1	1	135	4	1	16	967	0
1.374	1	1	138	5	1	28	2292	0
1.376	1	1	138	7	1	28	2292	0
1.378	1	1	138	9	1	28	2292	0
1.379	1	1	138	10	1	28	2292	0
1.38	1	1	139	1	1	28	2292	0
1.381	1	1	139	2	1	28	2292	0
1.394	1	1	140	5	1	28	2292	0
1.401	1	1	141	2	1	26	1908	0
1.402	1	1	141	3	1	26	1908	0
1.417	1	1	142	8	1	18	1143	0
1.436	1	1	144	7	1	22	1431	0
1.439	1	1	144	10	1	22	1431	0
1.442	1	1	145	3	1	28	2292	0
1.443	1	1	145	4	1	28	2292	0
1.471	1	1	148	2	1	28	2292	0
1.472	1	1	148	3	1	28	2292	0
1.473	1	1	148	4	1	28	2292	0
1.474	1	1	148	5	1	28	2292	0
1.475	1	1	148	6	1	28	2292	0
1.476	1	1	148	7	1	28	2292	0
1.477	1	1	148	8	1	28	2292	0
1.478	1	1	148	9	1	28	2292	0
1.479	1	1	148	10	1	28	2292	0
1.48	1	1	149	1	1	28	2292	0
1.481	1	1	149	2	1	28	2292	0
1.482	1	1	149	3	1	28	2292	0
1.483	1	1	149	4	1	28	2292	0
1.484	1	1	149	5	1	28	2292	0
1.504	1	1	151	5	1	28	2292	0
1.513	1	1	152	4	1	28	2292	0
1.514	1	1	152	5	1	28	2292	0
1.515	1	1	152	6	1	28	2292	0
1.516	1	1	152	7	1	28	2292	0
1.517	1	1	152	8	1	28	2292	0
1.518	1	1	152	9	1	28	2292	0
1.519	1	1	152	10	1	28	2292	0
1.52	1	1	153	1	1	28	2292	0
1.521	1	1	153	2	1	28	2292	0
1.522	1	1	153	3	1	28	2292	0
1.523	1	1	153	4	1	28	2292	0
1.524	1	1	153	5	1	28	2292	0
1.525	1	1	153	6	1	28	2292	0
1.526	1	1	153	7	1	28	2292	0
1.527	1	1	153	8	1	28	2292	0
1.529	1	1	153	10	1	28	2292	0
1.53	1	1	154	1	1	28	2292	0
1.531	1	1	154	2	1	28	2292	0
1.532	1	1	154	3	1	28	2292	0
1.533	1	1	154	4	1	28	2292	0
1.534	1	1	154	5	1	28	2292	0
1.549	1	1	155	10	1	28	2292	0
1.551	1	1	156	2	1	28	2292	0
1.552	1	1	156	3	1	28	2292	0
1.553	1	1	156	4	1	28	2292	0
1.554	1	1	156	5	1	28	2292	0
1.555	1	1	156	6	1	28	2292	0
1.556	1	1	156	7	1	16	967	0
1.557	1	1	156	8	1	16	967	0
1.558	1	1	156	9	1	28	2292	0
1.559	1	1	156	10	1	28	2292	0
1.56	1	1	157	1	1	28	2292	0
1.561	1	1	157	2	1	28	2292	0
1.562	1	1	157	3	1	28	2292	0
1.563	1	1	157	4	1	10	549	0
1.564	1	1	157	5	1	10	549	0
1.565	1	1	157	6	1	16	967	0
1.566	1	1	157	7	1	18	1143	0
1.567	1	1	157	8	1	20	1335	0
1.568	1	1	157	9	1	22	1431	0
