% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
1025	1	1	1	0	22	1431	0	1	1	0
1053	1	1	1	0	28	2292	0	1	1	0
1080	1	1	1	0	28	2292	0	1	1	0
1115	1	1	1	0	28	2292	0	1	1	0
1170	1	1	1	0	22	1431	0	1	1	0
1205	1	1	1	0	26	1908	0	1	1	0
1240	1	1	1	0	28	2292	0	1	1	0
1275	1	1	1	0	16	967	0	1	1	0
1310	1	1	1	0	28	2292	0	1	1	0
1345	1	1	1	0	16	967	0	1	1	0
1380	1	1	1	0	28	2292	0	1	1	0
1407	1	1	1	0	26	1908	0	1	1	0
1423	1	1	1	0	18	1143	0	1	1	0
1442	1	1	1	0	22	1431	0	1	1	0
1477	1	1	1	0	28	2292	0	1	1	0
1478	1	1	1	0	28	2292	0	1	1	0
1479	1	1	1	0	28	2292	0	1	1	0
1480	1	1	1	0	28	2292	0	1	1	0
1481	1	1	1	0	28	2292	0	1	1	0
1482	1	1	1	0	28	2292	0	1	1	0
1483	1	1	1	0	28	2292	0	1	1	0
1510	1	1	1	0	28	2292	0	1	1	0
1519	1	1	1	0	28	2292	0	1	1	0
1520	1	1	1	0	28	2292	0	1	1	0
1521	1	1	1	0	28	2292	0	1	1	0
1522	1	1	1	0	28	2292	0	1	1	0
1523	1	1	1	0	28	2292	0	1	1	0
1524	1	1	1	0	28	2292	0	1	1	0
1525	1	1	1	0	28	2292	0	1	1	0
1526	1	1	1	0	28	2292	0	1	1	0
1528	1	1	1	0	28	2292	0	1	1	0
1529	1	1	1	0	28	2292	0	1	1	0
1530	1	1	1	0	28	2292	0	1	1	0
1531	1	1	1	0	28	2292	0	1	1	0
1532	1	1	1	0	28	2292	0	1	1	0
1533	1	1	1	0	28	2292	0	1	1	0
1555	1	1	1	0	28	2292	0	1	1	0
1557	1	1	1	0	28	2292	0	1	0	0
1558	1	1	1	0	28	2292	0	1	0	0
1559	1	1	1	0	28	2292	0	1	0	0
1560	1	1	1	0	28	2292	0	1	0	0
1561	1	1	1	0	28	2292	0	1	0	0
1562	1	1	1	0	16	967	0	1	1	0
1564	1	1	1	0	28	2292	1	0	1	0
1565	1	1	1	0	28	2292	1	0	1	0
1566	1	1	1	0	28	2292	1	0	1	0
1567	1	1	1	0	28	2292	1	0	1	0
1568	1	1	1	0	28	2292	1	0	1	0
1569	1	1	1	0	10	549	0	1	1	0
1570	1	1	1	0	10	549	0	1	1	0
1571	1	1	1	0	16	967	0	1	1	0
1572	1	1	1	0	18	1143	0	1	1	0
1574	1	1	1	0	22	1431	0	1	1	0
1575	1	1	1	0	22	1431	0	1	1	0
1576	1	1	1	0	24	1692	0	1	1	0
1577	1	1	1	0	24	1692	0	1	1	0
1578	1	1	1	0	26	1908	0	1	1	0
1579	1	1	1	0	28	2292	0	1	1	0
1581	1	1	1	0	28	2292	0	1	1	0
1584	1	1	1	0	28	2292	0	1	1	0
1585	1	1	1	0	28	2292	0	1	1	0
1586	1	1	1	0	28	2292	0	1	1	0
1587	1	1	1	0	28	2292	0	1	1	0
1588	1	1	1	0	28	2292	0	1	1	0
1589	1	1	1	0	28	2292	0	1	1	0
1591	1	1	1	0	28	2292	0	1	1	0
1592	1	1	1	0	28	2292	0	1	1	0
1594	1	1	1	0	28	2292	0	1	1	0
1595	1	1	1	0	28	2292	0	1	1	0
1596	1	1	1	0	28	2292	0	1	1	0
1597	1	1	1	0	28	2292	0	1	1	0
1598	1	1	1	0	28	2292	0	1	1	0
1599	1	1	1	0	28	2292	0	1	1	0
1601	1	1	1	0	28	2292	0	1	1	0
1602	1	1	1	0	28	2292	0	1	1	0
1604	1	1	1	0	28	2292	0	1	1	0
1605	1	1	1	0	28	2292	0	1	1	0
1607	1	1	1	0	28	2292	0	1	1	0
1612	1	1	1	0	28	2292	0	1	1	0
1631	1	1	1	0	28	2292	0	1	1	0
1646	1	1	1	0	28	2292	0	1	1	0
1662	1	1	1	0	28	2292	0	1	1	0
1678	1	1	1	0	28	2292	0	1	1	0
1694	1	1	1	0	28	2292	0	1	1	0
1710	1	1	1	0	28	2292	0	1	1	0
1728	1	1	1	0	26	1908	0	1	1	0
1748	1	1	1	0	26	1908	0	1	1	0
1768	1	1	1	0	28	2292	0	1	1	0
1769	1	1	1	0	28	2292	0	1	1	0
1770	1	1	1	0	28	2292	0	1	1	0
1786	1	1	1	0	28	2292	0	1	1	0
1803	1	1	1	0	28	2292	0	1	1	0
1804	1	1	1	0	28	2292	0	1	1	0
1805	1	1	1	0	28	2292	0	1	1	0
1806	1	1	1	0	28	2292	0	1	1	0
1807	1	1	1	0	28	2292	0	1	1	0
1808	1	1	1	0	28	2292	0	1	1	0
1809	1	1	1	0	28	2292	0	1	1	0
1810	1	1	1	0	28	2292	0	1	1	0
1812	1	1	1	0	28	2292	0	1	1	0
1813	1	1	1	0	28	2292	0	1	1	0
1814	1	1	1	0	28	2292	0	1	1	0
1815	1	1	1	0	28	2292	0	1	1	0
1816	1	1	1	0	28	2292	0	1	1	0
1817	1	1	1	0	28	2292	0	1	1	0
1819	1	1	1	0	28	2292	0	1	1	0
1820	1	1	1	0	28	2292	0	1	1	0
1822	1	1	1	0	28	2292	0	1	1	0
1823	1	1	1	0	28	2292	0	1	1	0
1824	1	1	1	0	28	2292	0	1	1	0
1825	1	1	1	0	28	2292	0	1	1	0
1826	1	1	1	0	28	2292	0	1	1	0
1827	1	1	1	0	28	2292	0	1	1	0
1829	1	1	1	0	28	2292	0	1	1	0
1830	1	1	1	0	28	2292	0	1	1	0
1832	1	1	1	0	28	2292	0	1	1	0
1833	1	1	1	0	26	1908	0	1	1	0
1834	1	1	1	0	24	1692	0	1	1	0
1835	1	1	1	0	24	1692	0	1	1	0
1836	1	1	1	0	22	1431	0	1	1	0
1837	1	1	1	0	20	1335	0	1	1	0
1838	1	1	1	0	20	1335	0	1	1	0
1839	1	1	1	0	16	967	0	1	1	0
1840	1	1	1	0	12	621	0	1	1	0
1843	1	1	1	0	6	325	0	1	1	0
1844	1	1	1	0	12	621	0	1	1	0
1845	1	1	1	0	16	967	0	1	1	0
1846	1	1	1	0	18	1143	0	1	1	0
1847	1	1	1	0	20	1335	0	1	1	0
1848	1	1	1	0	20	1335	0	1	1	0
1849	1	1	1	0	20	1335	0	1	1	0
1850	1	1	1	0	24	1692	0	1	1	0
1852	1	1	1	0	26	1908	0	1	1	0
1853	1	1	1	0	28	2292	0	1	1	0
1854	1	1	1	0	28	2292	0	1	1	0
1855	1	1	1	0	28	2292	0	1	1	0
1856	1	1	1	0	28	2292	0	1	1	0
1857	1	1	1	0	28	2292	0	1	1	0
1859	1	1	1	0	28	2292	0	1	1	0
1860	1	1	1	0	28	2292	0	1	1	0
1862	1	1	1	0	28	2292	0	1	1	0
1863	1	1	1	0	28	2292	0	1	1	0
1864	1	1	1	0	28	2292	0	1	1	0
1865	1	1	1	0	28	2292	0	1	1	0
1866	1	1	1	0	28	2292	0	1	1	0
1867	1	1	1	0	28	2292	0	1	1	0
1869	1	1	1	0	28	2292	0	1	1	0
1870	1	1	1	0	28	2292	0	1	1	0
1872	1	1	1	0	28	2292	0	1	1	0
1873	1	1	1	0	28	2292	0	1	1	0
1874	1	1	1	0	28	2292	0	1	1	0
1875	1	1	1	0	28	2292	0	1	1	0
1876	1	1	1	0	28	2292	0	1	1	0
1877	1	1	1	0	28	2292	0	1	1	0
1879	1	1	1	0	28	2292	0	1	1	0
1880	1	1	1	0	28	2292	0	1	1	0
1882	1	1	1	0	28	2292	0	1	1	0
1883	1	1	1	0	28	2292	0	1	1	0
1884	1	1	1	0	28	2292	0	1	1	0
1885	1	1	1	0	28	2292	0	1	1	0
1886	1	1	1	0	28	2292	0	1	1	0
1887	1	1	1	0	28	2292	0	1	1	0
1889	1	1	1	0	28	2292	0	1	1	0
1890	1	1	1	0	28	2292	0	1	1	0
1892	1	1	1	0	28	2292	0	1	1	0
1893	1	1	1	0	28	2292	0	1	1	0
1894	1	1	1	0	28	2292	0	1	1	0
1895	1	1	1	0	28	2292	0	1	1	0
1896	1	1	1	0	28	2292	0	1	1	0
1897	1	1	1	0	28	2292	0	1	1	0
1899	1	1	1	0	28	2292	0	1	1	0
1900	1	1	1	0	28	2292	0	1	1	0
1902	1	1	1	0	28	2292	0	1	1	0
1903	1	1	1	0	28	2292	0	1	1	0
1904	1	1	1	0	28	2292	0	1	1	0
1905	1	1	1	0	28	2292	0	1	1	0
1906	1	1	1	0	28	2292	0	1	1	0
1907	1	1	1	0	28	2292	0	1	1	0
1909	1	1	1	0	28	2292	0	1	1	0
1910	1	1	1	0	28	2292	0	1	1	0
1912	1	1	1	0	28	2292	0	1	1	0
1913	1	1	1	0	28	2292	0	1	1	0
1914	1	1	1	0	28	2292	0	1	1	0
1915	1	1	1	0	28	2292	0	1	1	0
1916	1	1	1	0	28	2292	0	1	1	0
1917	1	1	1	0	28	2292	0	1	1	0
1919	1	1	1	0	28	2292	0	1	1	0
1920	1	1	1	0	28	2292	0	1	1	0
1922	1	1	1	0	28	2292	0	1	1	0
1923	1	1	1	0	28	2292	0	1	1	0
1924	1	1	1	0	28	2292	0	1	1	0
1925	1	1	1	0	28	2292	0	1	1	0
1926	1	1	1	0	28	2292	0	1	1	0
1927	1	1	1	0	28	2292	0	1	1	0
1929	1	1	1	0	28	2292	0	1	1	0
1930	1	1	1	0	26	1908	0	1	1	0
1932	1	1	1	0	24	1692	0	1	1	0
1933	1	1	1	0	22	1431	0	1	1	0
1934	1	1	1	0	20	1335	0	1	1	0
1935	1	1	1	0	20	1335	0	1	1	0
1936	1	1	1	0	16	967	0	1	1	0
1937	1	1	1	0	14	807	0	1	1	0
1938	1	1	1	0	14	807	0	1	1	0
1939	1	1	1	0	12	621	0	1	1	0
1940	1	1	1	0	14	807	0	1	1	0
1942	1	1	1	0	18	1143	0	1	1	0
1943	1	1	1	0	18	1143	0	1	1	0
1944	1	1	1	0	16	967	0	1	1	0
1945	1	1	1	0	14	807	0	1	1	0
1946	1	1	1	0	14	807	0	1	1	0
1947	1	1	1	0	14	807	0	1	1	0
1948	1	1	1	0	14	807	0	1	1	0
1949	1	1	1	0	18	1143	0	1	1	0
1950	1	1	1	0	18	1143	0	1	1	0
1952	1	1	1	0	20	1335	0	1	1	0
1953	1	1	1	0	20	1335	0	1	1	0
1954	1	1	1	0	20	1335	0	1	1	0
1955	1	1	1	0	20	1335	0	1	1	0
1956	1	1	1	0	20	1335	0	1	1	0
1957	1	1	1	0	22	1431	0	1	1	0
1958	1	1	1	0	22	1431	0	1	1	0
1959	1	1	1	0	22	1431	0	1	1	0
1960	1	1	1	0	22	1431	0	1	1	0
1962	1	1	1	0	22	1431	0	1	1	0
1963	1	1	1	0	22	1431	0	1	1	0
1964	1	1	1	0	22	1431	0	1	1	0
1965	1	1	1	0	22	1431	0	1	1	0
1966	1	1	1	0	22	1431	0	1	1	0
1967	1	1	1	0	22	1431	0	1	1	0
1968	1	1	1	0	22	1431	0	1	1	0
1969	1	1	1	0	22	1431	0	1	1	0
1970	1	1	1	0	22	1431	0	1	1	0
1972	1	1	1	0	22	1431	0	1	1	0
1973	1	1	1	0	22	1431	0	1	1	0
1974	1	1	1	0	22	1431	0	1	1	0
1975	1	1	1	0	22	1431	0	1	1	0
1976	1	1	1	0	22	1431	0	1	1	0
1977	1	1	1	0	22	1431	0	1	1	0
1978	1	1	1	0	22	1431	0	1	1	0
1979	1	1	1	0	22	1431	0	1	1	0
1980	1	1	1	0	22	1431	0	1	1	0
1982	1	1	1	0	22	1431	0	1	1	0
1983	1	1	1	0	22	1431	0	1	1	0
1984	1	1	1	0	22	1431	0	1	1	0
1985	1	1	1	0	22	1431	0	1	1	0
1986	1	1	1	0	22	1431	0	1	1	0
1987	1	1	1	0	22	1431	0	1	1	0
1988	1	1	1	0	22	1431	0	1	1	0
1989	1	1	1	0	22	1431	0	1	1	0
1990	1	1	1	0	22	1431	0	1	1	0
1992	1	1	1	0	22	1431	0	1	1	0
1993	1	1	1	0	22	1431	0	1	1	0
1994	1	1	1	0	24	1692	0	1	1	0
1995	1	1	1	0	24	1692	0	1	1	0
1996	1	1	1	0	24	1692	0	1	1	0
1997	1	1	1	0	24	1692	0	1	1	0
1998	1	1	1	0	24	1692	0	1	1	0
1999	1	1	1	0	24	1692	0	1	1	0
2001	1	1	1	0	24	1692	0	1	1	0
2003	1	1	1	0	24	1692	0	1	1	0
2004	1	1	1	0	24	1692	0	1	1	0
2021	1	1	1	0	28	2292	0	1	0	0
2028	1	1	1	0	28	2292	1	0	1	0
2039	1	1	1	0	2	137	0	1	1	0
2040	1	1	1	0	2	137	0	1	1	0
2041	1	1	1	0	2	137	0	1	1	0
2042	1	1	1	0	2	137	0	1	1	0
2043	1	1	1	0	2	137	0	1	1	0
2044	1	1	1	0	2	137	0	1	1	0
2045	1	1	1	0	2	137	0	1	1	0
2046	1	1	1	0	4	225	0	1	1	0
2047	1	1	1	0	6	325	0	1	1	0
2048	1	1	1	0	8	437	0	1	1	0
2049	1	1	1	0	8	437	0	1	1	0
2050	1	1	1	0	6	325	0	1	1	0
2051	1	1	1	0	6	325	0	1	1	0
2052	1	1	1	0	4	225	0	1	1	0
2053	1	1	1	0	4	225	0	1	1	0
2054	1	1	1	0	6	325	0	1	1	0
2055	1	1	1	0	6	325	0	1	1	0
2056	1	1	1	0	8	437	0	1	1	0
2057	1	1	1	0	8	437	0	1	1	0
2058	1	1	1	0	8	437	0	1	1	0
2059	1	1	1	0	6	325	0	1	1	0
2060	1	1	1	0	6	325	0	1	1	0
2061	1	1	1	0	4	225	0	1	1	0
2062	1	1	1	0	4	225	0	1	1	0
2063	1	1	1	0	4	225	0	1	1	0
2064	1	1	1	0	4	225	0	1	1	0
2065	1	1	1	0	4	225	0	1	1	0
2066	1	1	1	0	4	225	0	1	1	0
2068	1	1	1	0	4	225	0	1	1	0
2069	1	1	1	0	6	325	0	1	1	0
2070	1	1	1	0	6	325	0	1	1	0
2071	1	1	1	0	6	325	0	1	1	0
2072	1	1	1	0	6	325	0	1	1	0
2073	1	1	1	0	6	325	0	1	1	0
2074	1	1	1	0	6	325	0	1	1	0
2075	1	1	1	0	6	325	0	1	1	0
2076	1	1	1	0	6	325	0	1	1	0
2078	1	1	1	0	4	225	0	1	1	0
2079	1	1	1	0	4	225	0	1	1	0
2080	1	1	1	0	4	225	0	1	1	0
2081	1	1	1	0	4	225	0	1	1	0
2082	1	1	1	0	6	325	0	1	1	0
2083	1	1	1	0	6	325	0	1	1	0
2084	1	1	1	0	6	325	0	1	1	0
2085	1	1	1	0	4	225	0	1	1	0
2086	1	1	1	0	4	225	0	1	1	0
2088	1	1	1	0	2	137	0	1	1	0
2089	1	1	1	0	2	137	0	1	1	0
2090	1	1	1	0	2	137	0	1	1	0
2091	1	1	1	0	4	225	0	1	1	0
2092	1	1	1	0	4	225	0	1	1	0
2093	1	1	1	0	6	325	0	1	1	0
2094	1	1	1	0	6	325	0	1	1	0
2095	1	1	1	0	4	225	0	1	1	0
2096	1	1	1	0	4	225	0	1	1	0
2098	1	1	1	0	6	325	0	1	1	0
2099	1	1	1	0	6	325	0	1	1	0
2100	1	1	1	0	4	225	0	1	1	0
2101	1	1	1	0	4	225	0	1	1	0
2102	1	1	1	0	4	225	0	1	1	0
2103	1	1	1	0	6	325	0	1	1	0
2104	1	1	1	0	6	325	0	1	1	0
2105	1	1	1	0	2	137	0	1	1	0
2106	1	1	1	0	0	85	0	1	1	0
2107	1	1	1	0	4	225	0	1	1	0
2108	1	1	1	0	4	225	0	1	1	0
2111	1	1	1	0	4	225	0	1	1	0
2112	1	1	1	0	4	225	0	1	1	0
2113	1	1	1	0	4	225	0	1	1	0
2114	1	1	1	0	6	325	0	1	1	0
2115	1	1	1	0	10	549	0	1	1	0
2116	1	1	1	0	10	549	0	1	1	0
2118	1	1	1	0	14	807	0	1	1	0
2119	1	1	1	0	16	967	0	1	1	0
2120	1	1	1	0	18	1143	0	1	1	0
2121	1	1	1	0	18	1143	0	1	1	0
2122	1	1	1	0	20	1335	0	1	1	0
2123	1	1	1	0	22	1431	0	1	1	0
2124	1	1	1	0	22	1431	0	1	1	0
2125	1	1	1	0	22	1431	0	1	1	0
2126	1	1	1	0	24	1692	0	1	1	0
2128	1	1	1	0	26	1908	0	1	1	0
2129	1	1	1	0	26	1908	0	1	1	0
2130	1	1	1	0	28	2292	0	1	1	0
2131	1	1	1	0	28	2292	0	1	1	0
2132	1	1	1	0	28	2292	0	1	1	0
2133	1	1	1	0	28	2292	0	1	1	0
2135	1	1	1	0	28	2292	0	1	1	0
2137	1	1	1	0	28	2292	0	1	1	0
2138	1	1	1	0	28	2292	0	1	1	0
2139	1	1	1	0	28	2292	0	1	1	0
2140	1	1	1	0	28	2292	0	1	1	0
2141	1	1	1	0	28	2292	0	1	1	0
2142	1	1	1	0	28	2292	0	1	1	0
2143	1	1	1	0	28	2292	0	1	1	0
2145	1	1	1	0	28	2292	0	1	1	0
2146	1	1	1	0	28	2292	0	1	1	0
2148	1	1	1	0	28	2292	0	1	1	0
2149	1	1	1	0	28	2292	0	1	1	0
2150	1	1	1	0	28	2292	0	1	1	0
2151	1	1	1	0	28	2292	0	1	1	0
2152	1	1	1	0	28	2292	0	1	1	0
2153	1	1	1	0	28	2292	0	1	1	0
2154	1	1	1	0	28	2292	0	1	1	0
2155	1	1	1	0	28	2292	0	1	1	0
2156	1	1	1	0	28	2292	0	1	1	0
2158	1	1	1	0	28	2292	0	1	1	0
2159	1	1	1	0	28	2292	0	1	1	0
2160	1	1	1	0	28	2292	0	1	1	0
2161	1	1	1	0	26	1908	0	1	1	0
2162	1	1	1	0	26	1908	0	1	1	0
2163	1	1	1	0	26	1908	0	1	1	0
2165	1	1	1	0	26	1908	0	1	1	0
2166	1	1	1	0	24	1692	0	1	1	0
2168	1	1	1	0	24	1692	0	1	1	0
2169	1	1	1	0	24	1692	0	1	1	0
2170	1	1	1	0	24	1692	0	1	1	0
2171	1	1	1	0	24	1692	0	1	1	0
2172	1	1	1	0	24	1692	0	1	1	0
2173	1	1	1	0	24	1692	0	1	1	0
2174	1	1	1	0	24	1692	0	1	1	0
2175	1	1	1	0	24	1692	0	1	1	0
2176	1	1	1	0	24	1692	0	1	1	0
2178	1	1	1	0	24	1692	0	1	1	0
2179	1	1	1	0	24	1692	0	1	1	0
2180	1	1	1	0	24	1692	0	1	1	0
2181	1	1	1	0	24	1692	0	1	1	0
2182	1	1	1	0	24	1692	0	1	1	0
2183	1	1	1	0	26	1908	0	1	1	0
2185	1	1	1	0	26	1908	0	1	1	0
2186	1	1	1	0	28	2292	0	1	1	0
2188	1	1	1	0	28	2292	0	1	1	0
2189	1	1	1	0	28	2292	0	1	1	0
2190	1	1	1	0	28	2292	0	1	1	0
2191	1	1	1	0	28	2292	0	1	1	0
2192	1	1	1	0	28	2292	0	1	1	0
2193	1	1	1	0	28	2292	0	1	1	0
2195	1	1	1	0	28	2292	0	1	1	0
2196	1	1	1	0	28	2292	0	1	1	0
2198	1	1	1	0	28	2292	0	1	1	0
2199	1	1	1	0	28	2292	0	1	1	0
2200	1	1	1	0	28	2292	0	1	1	0
2201	1	1	1	0	28	2292	0	1	1	0
2202	1	1	1	0	26	1908	0	1	1	0
2203	1	1	1	0	26	1908	0	1	1	0
2205	1	1	1	0	24	1692	0	1	1	0
2206	1	1	1	0	22	1431	0	1	1	0
2208	1	1	1	0	20	1335	0	1	1	0
2209	1	1	1	0	18	1143	0	1	1	0
2210	1	1	1	0	16	967	0	1	1	0
2211	1	1	1	0	16	967	0	1	1	0
2212	1	1	1	0	12	621	0	1	1	0
2213	1	1	1	0	8	437	0	1	1	0
2214	1	1	1	0	8	437	0	1	1	0
2216	1	1	1	0	0	85	0	1	1	0
2217	1	1	1	0	6	325	0	1	1	0
2218	1	1	1	0	8	437	0	1	1	0
2219	1	1	1	0	12	621	0	1	1	0
2220	1	1	1	0	12	621	0	1	1	0
2221	1	1	1	0	14	807	0	1	1	0
2222	1	1	1	0	14	807	0	1	1	0
2223	1	1	1	0	14	807	0	1	1	0
2224	1	1	1	0	14	807	0	1	1	0
2225	1	1	1	0	14	807	0	1	1	0
2226	1	1	1	0	14	807	0	1	1	0
2228	1	1	1	0	10	549	0	1	1	0
2229	1	1	1	0	8	437	0	1	1	0
2230	1	1	1	0	8	437	0	1	1	0
2231	1	1	1	0	10	549	0	1	1	0
2232	1	1	1	0	6	325	0	1	1	0
2233	1	1	1	0	2	137	0	1	1	0
2234	1	1	1	0	2	137	0	1	1	0
2235	1	1	1	0	6	325	0	1	1	0
2236	1	1	1	0	8	437	0	1	1	0
2238	1	1	1	0	14	807	0	1	1	0
2239	1	1	1	0	16	967	0	1	1	0
2240	1	1	1	0	18	1143	0	1	1	0
2241	1	1	1	0	20	1335	0	1	1	0
2242	1	1	1	0	20	1335	0	1	1	0
2243	1	1	1	0	20	1335	0	1	1	0
2244	1	1	1	0	20	1335	0	1	1	0
2245	1	1	1	0	22	1431	0	1	1	0
2246	1	1	1	0	22	1431	0	1	1	0
2248	1	1	1	0	24	1692	0	1	1	0
2249	1	1	1	0	24	1692	0	1	1	0
2250	1	1	1	0	24	1692	0	1	1	0
2251	1	1	1	0	26	1908	0	1	1	0
2252	1	1	1	0	26	1908	0	1	1	0
2253	1	1	1	0	26	1908	0	1	1	0
2255	1	1	1	0	28	2292	0	1	1	0
2256	1	1	1	0	28	2292	0	1	1	0
2258	1	1	1	0	28	2292	0	1	1	0
2259	1	1	1	0	28	2292	0	1	1	0
2260	1	1	1	0	28	2292	0	1	1	0
2261	1	1	1	0	28	2292	0	1	1	0
2262	1	1	1	0	28	2292	0	1	1	0
2263	1	1	1	0	28	2292	0	1	1	0
2265	1	1	1	0	28	2292	0	1	1	0
2266	1	1	1	0	28	2292	0	1	1	0
2268	1	1	1	0	28	2292	0	1	1	0
2269	1	1	1	0	28	2292	0	1	1	0
2270	1	1	1	0	28	2292	0	1	1	0
2271	1	1	1	0	28	2292	0	1	1	0
2272	1	1	1	0	28	2292	0	1	1	0
2273	1	1	1	0	28	2292	0	1	1	0
2275	1	1	1	0	28	2292	0	1	1	0
2276	1	1	1	0	28	2292	0	1	1	0
2278	1	1	1	0	28	2292	0	1	1	0
2279	1	1	1	0	28	2292	0	1	1	0
2280	1	1	1	0	28	2292	0	1	1	0
2281	1	1	1	0	28	2292	0	1	1	0
2282	1	1	1	0	28	2292	0	1	1	0
2283	1	1	1	0	28	2292	0	1	1	0
2285	1	1	1	0	28	2292	0	1	1	0
2286	1	1	1	0	28	2292	0	1	1	0
2288	1	1	1	0	28	2292	0	1	1	0
2289	1	1	1	0	28	2292	0	1	1	0
2290	1	1	1	0	28	2292	0	1	1	0
2291	1	1	1	0	28	2292	0	1	1	0
2292	1	1	1	0	28	2292	0	1	1	0
2293	1	1	1	0	28	2292	0	1	1	0
2295	1	1	1	0	28	2292	0	1	1	0
2296	1	1	1	0	28	2292	0	1	1	0
2298	1	1	1	0	28	2292	0	1	1	0
2299	1	1	1	0	28	2292	0	1	1	0
2300	1	1	1	0	28	2292	0	1	1	0
2301	1	1	1	0	28	2292	0	1	1	0
2302	1	1	1	0	28	2292	0	1	1	0
2303	1	1	1	0	28	2292	0	1	1	0
2305	1	1	1	0	28	2292	0	1	1	0
2306	1	1	1	0	28	2292	0	1	1	0
2308	1	1	1	0	28	2292	0	1	1	0
2309	1	1	1	0	28	2292	0	1	1	0
2310	1	1	1	0	28	2292	0	1	1	0
2311	1	1	1	0	28	2292	0	1	1	0
2312	1	1	1	0	28	2292	0	1	1	0
2313	1	1	1	0	26	1908	0	1	1	0
2315	1	1	1	0	24	1692	0	1	1	0
2316	1	1	1	0	24	1692	0	1	1	0
2318	1	1	1	0	22	1431	0	1	1	0
2319	1	1	1	0	20	1335	0	1	1	0
2320	1	1	1	0	20	1335	0	1	1	0
2321	1	1	1	0	20	1335	0	1	1	0
2322	1	1	1	0	20	1335	0	1	1	0
2323	1	1	1	0	20	1335	0	1	1	0
2324	1	1	1	0	20	1335	0	1	1	0
2325	1	1	1	0	20	1335	0	1	1	0
2330	1	1	1	0	22	1431	0	1	1	0
2331	1	1	1	0	22	1431	0	1	1	0
2349	1	1	1	0	18	1143	0	1	1	0
2364	1	1	1	0	22	1431	0	1	1	0
2380	1	1	1	0	28	2292	0	1	1	0
2396	1	1	1	0	28	2292	0	1	1	0
2415	1	1	1	0	28	2292	0	1	1	0
2432	1	1	1	0	28	2292	0	1	1	0
2437	1	1	1	0	28	2292	0	1	1	0
2448	1	1	1	0	20	1335	0	1	1	0
2449	1	1	1	0	20	1335	0	1	1	0
2464	1	1	1	0	22	1431	0	1	1	0
2480	1	1	1	0	26	1908	0	1	1	0
2496	1	1	1	0	28	2292	0	1	1	0
2512	1	1	1	0	28	2292	0	1	1	0
2528	1	1	1	0	24	1692	0	1	1	0
