% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.041	1	1	1	3948.98	0
0.081	1	1	1	2940.09	0
0.121	1	1	1	419.624	0
0.161	1	1	1	3160.45	0
0.201	1	1	1	589.835	0
0.241	1	1	1	2483.29	0
0.281	1	1	1	6146.01	0
0.321	1	1	1	2021.82	0
0.361	1	1	1	1546.05	0
0.401	1	1	1	2391.1	0
0.441	1	1	1	414.251	0
0.481	1	1	1	355.239	0
0.521	1	1	1	1239.14	0
0.561	1	1	1	81.5905	0
0.601	1	1	1	658.662	0
0.641	1	1	1	520.26	0
0.681	1	1	1	337.491	0
0.721	1	1	1	845.154	0
0.761	1	1	1	955.033	0
0.801	1	1	1	1787.46	0
0.841	1	1	1	216.928	0
0.881	1	1	1	2223.41	0
0.921	1	1	1	5691	0
0.961	1	1	1	2823.2	0
1.001	1	1	1	5515.61	0
1.041	1	1	1	2463.41	0
1.081	1	1	1	2384.3	0
1.121	1	1	1	485.395	0
1.161	1	1	1	1396.86	0
1.201	1	1	1	2511.53	0
1.241	1	1	1	603.878	0
1.281	1	1	1	2606.66	0
1.321	1	1	1	1402.33	0
1.361	1	1	1	1269.98	0
1.401	1	1	1	4209.45	0
1.441	1	1	1	1537.96	0
1.481	1	1	1	4511.55	0
1.521	1	1	1	1392.16	0
1.561	1	1	1	757.673	0
1.601	1	1	1	3589.53	0
1.641	1	1	1	8176	0
1.681	1	1	1	3928.56	0
1.721	1	1	1	364.6	0
1.761	1	1	1	2867.02	0
1.801	1	1	1	2873.55	0
1.841	1	1	1	1381.27	0
1.881	1	1	1	3526.1	0
1.921	1	1	1	886.554	0
1.961	1	1	1	844.994	0
2.001	1	1	1	980.946	0
2.041	1	1	1	631.684	0
2.081	1	1	1	400.568	0
2.121	1	1	1	457.877	0
2.161	1	1	1	1179	0
2.201	1	1	1	627.938	0
2.241	1	1	1	1010.04	0
2.281	1	1	1	1485.5	0
2.321	1	1	1	488.258	0
2.361	1	1	1	901.353	0
2.401	1	1	1	1296.91	0
2.441	1	1	1	783.447	0
2.481	1	1	1	1203.94	0
2.521	1	1	1	1056.59	0
2.561	1	1	1	537.903	0
2.601	1	1	1	949.183	0
2.641	1	1	1	1283.65	0
2.681	1	1	1	406.315	0
2.721	1	1	1	830.228	0
2.761	1	1	1	1110.37	0
2.801	1	1	1	671.756	0
2.841	1	1	1	1067.86	0
2.881	1	1	1	1186.69	0
2.921	1	1	1	388.964	0
2.961	1	1	1	289.026	0
3.001	1	1	1	1201.56	0
3.041	1	1	1	167.411	0
3.081	1	1	1	2229.26	0
3.121	1	1	1	5089.29	0
3.161	1	1	1	2254.58	0
3.201	1	1	1	879.335	0
3.241	1	1	1	1477.16	0
3.281	1	1	1	170.416	0
3.321	1	1	1	1503.97	0
3.361	1	1	1	2125.47	0
3.401	1	1	1	290.397	0
3.441	1	1	1	868.67	0
3.481	1	1	1	1079.83	0
3.521	1	1	1	1081.01	0
3.561	1	1	1	980.642	0
3.601	1	1	1	454.237	0
3.641	1	1	1	598.9	0
3.681	1	1	1	1138.87	0
3.721	1	1	1	367.616	0
3.761	1	1	1	160.585	0
3.801	1	1	1	527.51	0
3.841	1	1	1	136.822	0
3.881	1	1	1	426.596	0
3.921	1	1	1	448.857	0
3.961	1	1	1	848.649	0
4.001	1	1	1	652.551	0
4.041	1	1	1	502.715	0
4.081	1	1	1	1744.17	0
4.121	1	1	1	628.712	0
4.161	1	1	1	1713.3	0
4.201	1	1	1	1441.77	0
4.241	1	1	1	301.668	0
4.281	1	1	1	1632.19	0
4.321	1	1	1	761.435	0
4.361	1	1	1	1669.69	0
4.401	1	1	1	1920.43	0
4.441	1	1	1	213.822	0
4.481	1	1	1	772.026	0
4.521	1	1	1	508.576	0
4.561	1	1	1	4.22131	0
4.601	1	1	1	122.031	0
4.641	1	1	1	20.3139	0
4.681	3	1	1	748.803	0
4.721	3	1	1	261.811	0
4.761	3	1	1	585.591	0
4.801	3	1	1	1058.56	0
4.841	3	1	1	507.406	0
4.881	3	1	1	1209.28	0
4.921	3	1	1	1273.35	0
4.961	3	1	1	417.587	0
5.001	3	1	1	614.743	0
5.041	3	1	1	3237.02	0
5.081	3	1	1	2256.66	0
5.121	3	1	1	2413.45	0
5.161	3	1	1	3129.87	0
5.201	3	1	1	442.532	0
